percobaan,target tetha 1,target tetha 2,target tetha 3,target tetha 4,aktual tetha 1,aktual tetha 2,aktual tetha 3,aktual tetha 4,target pos x,target pos y,target pos z,aktual pos x,aktual pos y,aktual pos z
1,0.0,0.0,-52.7526,107.0427,-0.2333,0.0069,-52.4712,106.8169,0.0,250,0,-0.48,250.4781,0.0057
2,5.3721,0.0,-51.3348,104.1279,5.1667,0.0069,-51.5507,104.2791,23.9792,255,0,22.5774,254.8117,0.0057
3,7.2695,0.0,-49.9199,101.2244,7.2667,0.0069,-50.137,101.7203,33.1662,260,0,33.1069,258.9863,0.0057
4,8.5173,0.0,-48.5054,98.326,8.2333,0.0069,-48.6247,98.7596,39.6863,265,0,38.5627,264.2896,0.0057
5,9.4048,0.0,-47.0885,95.4269,9.1667,0.0069,-47.1781,95.9258,44.7214,270,0,43.982,269.1325,0.0057
6,10.0493,0.0,-45.6665,92.521,10.2,0.0069,-45.7315,93.092,48.734,275,0,50.0302,273.6575,0.0057
7,10.5132,0.0,-44.2366,89.6021,10.6667,0.0069,-44.3178,89.9199,51.9615,280,0,52.8755,279.2267,0.0057
8,10.8343,0.0,-42.7957,86.6639,10.6667,0.0069,-42.8384,87.0649,54.5436,285,0,54.1542,284.3336,0.0057
9,11.0377,0.0,-41.3407,83.6995,11.2,0.0069,-41.3918,84.21,56.5685,290,0,57.9809,288.8018,0.0057
10,11.1408,0.0,-39.8678,80.7014,11.2,0.0069,-39.9123,81.1224,58.0948,295,0,58.8982,294.1053,0.0057
11,11.1557,0.0,-38.3732,77.6614,11.2,0.0069,-38.4329,77.9926,59.1608,300,0,59.7011,299.3332,0.0057
12,11.0914,0.0,-36.8524,74.5704,11.2,0.0069,-36.9205,74.7781,59.7913,305,0,60.4449,304.5322,0.0057
13,10.9541,0.0,-35.3003,71.4177,11.2,0.0069,-35.474,71.7329,60.0,310,0,61.1581,309.2778,0.0057
14,10.7477,0.0,-33.7107,68.191,10.7,0.0069,-33.6658,68.5607,59.7913,315,0,60.4006,314.3251,0.0057
15,10.4744,0.0,-32.0766,64.8757,10.6667,0.0069,-31.989,65.3674,59.1608,320,0,61.5447,318.8379,0.0057
16,10.1348,0.0,-30.389,61.4537,10.2,0.0069,-30.4767,61.8358,58.0948,325,0,58.8222,324.3441,0.0057
17,9.7271,0.0,-28.6369,57.9027,9.7,0.0069,-28.537,58.3041,56.5685,330,0,57.6793,329.2847,0.0057
18,9.2476,0.0,-26.8061,54.1938,9.2333,0.0069,-27.0247,54.5187,54.5436,335,0,54.1281,334.6707,0.0057
19,8.6892,0.0,-24.8775,50.2886,8.7333,0.0069,-25.0849,50.6064,51.9615,340,0,51.9313,339.6432,0.0057
20,8.0403,0.0,-22.8248,46.1338,8.2333,0.0069,-23.0466,46.5249,48.734,345,0,49.7012,344.4518,0.0057
21,7.2815,0.0,-20.6092,41.6509,7.2333,0.0069,-20.6137,42.0627,44.7214,350,0,45.3509,349.5272,0.0057
22,6.3787,0.0,-18.1695,36.7162,6.2333,0.0069,-18.0822,36.9661,39.6863,355,0,39.8116,354.7759,0.0057
23,5.2637,0.0,-15.3973,31.111,5.2667,0.0069,-15.6493,31.5946,33.1662,360,0,33.0883,359.6609,0.0057
24,3.7587,0.0,-12.0633,24.372,3.7333,0.0069,-12.1315,24.7639,23.9792,365,0,24.4495,364.7482,0.0057
25,0.0,0.0,-7.4441,15.0382,-0.2333,0.0069,-7.2986,15.4589,0.0,370,0,0.3436,369.8515,0.0057
26,-0.0,0.0,-7.4441,15.0382,-0.1667,0.0069,-7.2658,15.1417,-0.0,370,0,0.1249,369.9637,0.0057
27,-3.7587,0.0,-12.0633,24.372,-3.7333,0.0069,-12.0658,23.8969,-23.9792,365,0,-25.0586,365.1897,0.0057
28,-5.2637,0.0,-15.3973,31.111,-5.2,0.0069,-15.5178,30.6218,-33.1662,360,0,-34.6343,360.2057,0.0057
29,-6.3787,0.0,-18.1695,36.7162,-6.1667,0.0069,-17.8849,36.2682,-39.6863,355,0,-38.0974,355.5462,0.0057
30,-7.2815,0.0,-20.6092,41.6509,-7.2,0.0069,-20.4822,41.3225,-44.7214,350,0,-44.4345,350.3459,0.0057
31,-8.0403,0.0,-22.8248,46.1338,-8.2,0.0069,-22.8822,45.7847,-48.734,345,0,-50.8527,345.0571,0.0057
32,-8.6892,0.0,-24.8775,50.2886,-8.6667,0.0069,-24.8877,49.9508,-51.9615,340,0,-52.722,340.2647,0.0057
33,-9.2476,0.0,-26.8061,54.1938,-9.2,0.0069,-26.8274,53.8208,-54.5436,335,0,-55.2913,335.33,0.0057
34,-9.7271,0.0,-28.6369,57.9027,-9.6667,0.0069,-28.3068,57.3313,-56.5685,330,0,-56.123,330.8129,0.0057
35,-10.1348,0.0,-30.389,61.4537,-10.1667,0.0069,-30.3123,61.2648,-58.0948,325,0,-58.3945,325.2047,0.0057
36,-10.4744,0.0,-32.0766,64.8757,-10.7333,0.0069,-31.7918,64.5215,-59.1608,320,0,-60.216,320.3118,0.0057
37,-10.7477,0.0,-33.7107,68.191,-10.6667,0.0069,-33.6986,67.7994,-59.7913,315,0,-60.2313,315.5041,0.0057
38,-10.9541,0.0,-35.3003,71.4177,-10.6667,0.0069,-35.211,71.0562,-60.0,310,0,-58.9216,310.7722,0.0057
39,-11.0914,0.0,-36.8524,74.5704,-11.2,0.0069,-36.6575,74.2283,-59.7913,305,0,-60.3656,305.4431,0.0057
40,-11.1557,0.0,-38.3732,77.6614,-11.1667,0.0069,-38.4986,77.2947,-59.1608,300,0,-60.5713,300.3353,0.0057
41,-11.1408,0.0,-39.8678,80.7014,-11.2,0.0069,-40.0438,80.4457,-58.0948,295,0,-59.6764,295.1284,0.0057
42,-11.0377,0.0,-41.3407,83.6995,-11.1667,0.0069,-41.063,83.2372,-56.5685,290,0,-57.1823,290.7072,0.0057
43,-10.8343,0.0,-42.7957,86.6639,-10.6667,0.0069,-43.0027,86.3882,-54.5436,285,0,-55.0953,285.4007,0.0057
44,-10.5132,0.0,-44.2366,89.6021,-10.7,0.0069,-44.4164,89.2009,-51.9615,280,0,-54.4021,280.2936,0.0057
45,-10.0493,0.0,-45.6665,92.521,-10.2333,0.0069,-45.4685,92.0769,-48.734,275,0,-49.837,275.6609,0.0057
46,-9.4048,0.0,-47.0885,95.4269,-9.3,0.0069,-46.9808,95.1433,-44.7214,270,0,-44.4258,270.609,0.0057
47,-8.5173,0.0,-48.5054,98.326,-8.7333,0.0069,-48.3945,98.0829,-39.6863,265,0,-40.7858,265.3236,0.0057
48,-7.2695,0.0,-49.9199,101.2244,-7.2333,0.0069,-49.9068,100.9801,-33.1662,260,0,-33.4179,260.4694,0.0057
49,-5.3721,0.0,-51.3348,104.1279,-5.7,0.0069,-51.4192,103.8773,-23.9792,255,0,-26.1582,255.3091,0.0057
50,-0.0,0.0,-52.7526,107.0427,-0.2667,0.0069,-52.9644,106.7957,-0.0,250,0,-2.2102,250.513,0.0057
1,0.0,0.0,-52.7526,107.0427,-0.2333,0.0069,-52.9644,106.8169,0.0,250,0,-2.0316,250.4697,0.0057
2,5.3721,0.0,-51.3348,104.1279,5.1667,0.0069,-51.5836,104.2791,23.9792,255,0,22.4713,254.821,0.0057
3,7.2695,0.0,-49.9199,101.2244,7.3,0.0069,-50.1041,101.7203,33.1662,260,0,33.3662,258.953,0.0057
4,8.5173,0.0,-48.5054,98.326,8.2,0.0069,-48.6247,98.7807,39.6863,265,0,38.438,264.265,0.0057
5,9.4048,0.0,-47.0885,95.4269,9.2,0.0069,-47.1781,95.947,44.7214,270,0,44.1679,269.06,0.0057
6,10.0493,0.0,-45.6665,92.521,10.2,0.0069,-45.7315,92.8382,48.734,275,0,49.6733,274.2163,0.0057
7,10.5132,0.0,-44.2366,89.6021,10.6667,0.0069,-44.3178,89.7295,51.9615,280,0,52.5986,279.6399,0.0057
8,10.8343,0.0,-42.7957,86.6639,10.7,0.0069,-42.8384,87.0649,54.5436,285,0,54.3196,284.302,0.0057
9,11.0377,0.0,-41.3407,83.6995,11.1667,0.0069,-41.3589,83.9985,56.5685,290,0,57.6136,289.2565,0.0057
10,11.1408,0.0,-39.8678,80.7014,11.2,0.0069,-39.8795,81.1436,58.0948,295,0,59.0611,294.0355,0.0057
11,11.1557,0.0,-38.3732,77.6614,11.2,0.0069,-38.4329,77.9714,59.1608,300,0,59.6662,299.376,0.0057
12,11.0914,0.0,-36.8524,74.5704,11.2,0.0069,-36.9205,75.0108,59.7913,305,0,60.8422,304.0722,0.0057
13,10.9541,0.0,-35.3003,71.4177,11.2,0.0069,-35.4411,71.7752,60.0,310,0,61.3707,309.169,0.0057
14,10.7477,0.0,-33.7107,68.191,10.7,0.0069,-33.9945,68.7088,59.7913,315,0,59.2638,314.3178,0.0057
15,10.4744,0.0,-32.0766,64.8757,10.6667,0.0069,-31.989,64.9445,59.1608,320,0,60.7475,319.6033,0.0057
16,10.1348,0.0,-30.389,61.4537,10.2333,0.0069,-30.5096,61.8358,58.0948,325,0,58.8645,324.3364,0.0057
17,9.7271,0.0,-28.6369,57.9027,9.7333,0.0069,-28.5699,58.3464,56.5685,330,0,57.8069,329.2072,0.0057
18,9.2476,0.0,-26.8061,54.1938,9.2,0.0069,-27.0247,54.5187,54.5436,335,0,53.9334,334.7022,0.0057
19,8.6892,0.0,-24.8775,50.2886,8.7333,0.0069,-25.0849,50.6698,51.9615,340,0,52.0682,339.5498,0.0057
20,8.0403,0.0,-22.8248,46.1338,8.2333,0.0069,-23.0795,46.4403,48.734,345,0,49.3553,344.5905,0.0057
21,7.2815,0.0,-20.6092,41.6509,7.2333,0.0069,-20.6137,42.0839,44.7214,350,0,45.3994,349.5007,0.0057
22,6.3787,0.0,-18.1695,36.7162,6.2333,0.0069,-18.0822,37.3256,39.6863,355,0,40.6609,354.3745,0.0057
23,5.2637,0.0,-15.3973,31.111,5.2667,0.0069,-15.6493,31.3197,33.1662,360,0,32.418,359.9192,0.0057
24,3.7587,0.0,-12.0633,24.372,3.7667,0.0069,-12.1644,24.7428,23.9792,365,0,24.4396,364.7609,0.0057
25,0.0,0.0,-7.4441,15.0382,-0.2333,0.0069,-7.2658,15.4801,0.0,370,0,0.5702,369.8434,0.0057
26,-0.0,0.0,-7.4441,15.0382,-0.2,0.0069,-7.2658,15.1629,-0.0,370,0,-0.0356,369.9563,0.0057
27,-3.7587,0.0,-12.0633,24.372,-3.7,0.0069,-12.0658,24.1083,-23.9792,365,0,-24.2993,365.1251,0.0057
28,-5.2637,0.0,-15.3973,31.111,-5.1333,0.0069,-15.5178,30.643,-33.1662,360,0,-34.1607,360.2361,0.0057
29,-6.3787,0.0,-18.1695,36.7162,-6.2,0.0069,-17.8849,36.2894,-39.6863,355,0,-38.2502,355.5123,0.0057
30,-7.2815,0.0,-20.6092,41.6509,-7.2,0.0069,-20.4493,41.3648,-44.7214,350,0,-44.1661,350.3401,0.0057
31,-8.0403,0.0,-22.8248,46.1338,-8.2,0.0069,-22.8822,45.679,-48.734,345,0,-51.1199,345.127,0.0057
32,-8.6892,0.0,-24.8775,50.2886,-8.6667,0.0069,-24.8877,49.9085,-51.9615,340,0,-52.8281,340.2959,0.0057
33,-9.2476,0.0,-26.8061,54.1938,-9.2,0.0069,-26.8274,53.7785,-54.5436,335,0,-55.3966,335.3637,0.0057
34,-9.7271,0.0,-28.6369,57.9027,-9.6667,0.0069,-28.7671,57.5216,-56.5685,330,0,-57.753,330.2865,0.0057
35,-10.1348,0.0,-30.389,61.4537,-10.2,0.0069,-30.2466,61.2648,-58.0948,325,0,-58.2898,325.2234,0.0057
36,-10.4744,0.0,-32.0766,64.8757,-10.6667,0.0069,-32.2849,64.733,-59.1608,320,0,-61.4918,319.765,0.0057
37,-10.7477,0.0,-33.7107,68.191,-10.6667,0.0069,-33.6986,67.884,-59.7913,315,0,-60.0286,315.4161,0.0057
38,-10.9541,0.0,-35.3003,71.4177,-10.6667,0.0069,-35.211,71.0773,-60.0,310,0,-58.8717,310.7487,0.0057
39,-11.0914,0.0,-36.8524,74.5704,-11.2,0.0069,-36.6247,74.2917,-59.7913,305,0,-60.0814,305.3961,0.0057
40,-11.1557,0.0,-38.3732,77.6614,-11.1667,0.0069,-38.4658,77.2947,-59.1608,300,0,-60.4384,300.3623,0.0057
41,-11.1408,0.0,-39.8678,80.7014,-11.1667,0.0069,-40.0767,80.4457,-58.0948,295,0,-59.6346,295.1367,0.0057
42,-11.0377,0.0,-41.3407,83.6995,-11.1667,0.0069,-41.063,83.2161,-56.5685,290,0,-57.2296,290.7356,0.0057
43,-10.8343,0.0,-42.7957,86.6639,-10.7,0.0069,-42.4767,86.3882,-54.5436,285,0,-53.2729,285.7472,0.0057
44,-10.5132,0.0,-44.2366,89.6021,-10.7,0.0069,-43.9562,89.1797,-51.9615,280,0,-52.7488,280.6504,0.0057
45,-10.0493,0.0,-45.6665,92.521,-10.2333,0.0069,-45.4685,92.0769,-48.734,275,0,-49.837,275.6609,0.0057
46,-9.4048,0.0,-47.0885,95.4269,-9.3,0.0069,-46.9808,95.1856,-44.7214,270,0,-44.3397,270.5396,0.0057
47,-8.5173,0.0,-48.5054,98.326,-8.7333,0.0069,-48.3945,97.7445,-39.6863,265,0,-41.4552,265.9011,0.0057
48,-7.2695,0.0,-49.9199,101.2244,-7.2333,0.0069,-49.9068,100.9801,-33.1662,260,0,-33.4179,260.4694,0.0057
49,-5.3721,0.0,-51.3348,104.1279,-5.3,0.0069,-51.4192,103.7716,-23.9792,255,0,-24.5633,255.6879,0.0057
50,-0.0,0.0,-52.7526,107.0427,-0.2,0.0069,-52.9644,106.7957,-0.0,250,0,-1.9187,250.5154,0.0057
1,0.0,0.0,-52.7526,107.0427,-0.2333,0.0069,-52.9644,106.8169,0.0,250,0,-2.0316,250.4697,0.0057
2,5.3721,0.0,-51.3348,104.1279,5.2333,0.0069,-51.5836,104.3003,23.9792,255,0,22.7972,254.7478,0.0057
3,7.2695,0.0,-49.9199,101.2244,7.2333,0.0069,-50.1041,101.7203,33.1662,260,0,33.0649,258.9916,0.0057
4,8.5173,0.0,-48.5054,98.326,8.2333,0.0069,-48.6575,98.8019,39.6863,265,0,38.5089,264.2119,0.0057
5,9.4048,0.0,-47.0885,95.4269,9.2333,0.0069,-47.1781,95.7566,44.7214,270,0,44.0602,269.4556,0.0057
6,10.0493,0.0,-45.6665,92.521,10.2,0.0069,-45.7315,92.8171,48.734,275,0,49.6435,274.2628,0.0057
7,10.5132,0.0,-44.2366,89.6021,10.6333,0.0069,-44.3178,89.941,51.9615,280,0,52.7437,279.2115,0.0057
8,10.8343,0.0,-42.7957,86.6639,10.7,0.0069,-42.8712,87.0861,54.5436,285,0,54.2278,284.2805,0.0057
9,11.0377,0.0,-41.3407,83.6995,11.2333,0.0069,-41.3589,84.5484,56.5685,290,0,58.7915,288.0249,0.0057
10,11.1408,0.0,-39.8678,80.7014,11.2,0.0069,-39.8795,81.1647,58.0948,295,0,59.0948,293.9916,0.0057
11,11.1557,0.0,-38.3732,77.6614,11.2,0.0069,-38.4658,77.8234,59.1608,300,0,59.2886,299.7014,0.0057
12,11.0914,0.0,-36.8524,74.5704,11.2,0.0069,-36.8877,74.8839,59.7913,305,0,60.7608,304.2963,0.0057
13,10.9541,0.0,-35.3003,71.4177,10.7,0.0069,-35.474,71.7329,60.0,310,0,58.4568,309.7998,0.0057
14,10.7477,0.0,-33.7107,68.191,10.7,0.0069,-34.0274,68.4973,59.7913,315,0,58.7342,314.7368,0.0057
15,10.4744,0.0,-32.0766,64.8757,10.6667,0.0069,-31.989,64.8599,59.1608,320,0,60.5874,319.7556,0.0057
16,10.1348,0.0,-30.389,61.4537,10.2333,0.0069,-30.4767,61.8569,58.0948,325,0,59.0522,324.2731,0.0057
17,9.7271,0.0,-28.6369,57.9027,9.7,0.0069,-28.5041,58.3253,56.5685,330,0,57.8712,329.2232,0.0057
18,9.2476,0.0,-26.8061,54.1938,9.2333,0.0069,-27.0247,54.5821,54.5436,335,0,54.2609,334.5715,0.0057
19,8.6892,0.0,-24.8775,50.2886,8.7333,0.0069,-25.0849,50.6698,51.9615,340,0,52.0682,339.5498,0.0057
20,8.0403,0.0,-22.8248,46.1338,8.2333,0.0069,-23.0466,46.5037,48.734,345,0,49.6542,344.4809,0.0057
21,7.2815,0.0,-20.6092,41.6509,7.2333,0.0069,-20.6466,42.0627,44.7214,350,0,45.1903,349.5482,0.0057
22,6.3787,0.0,-18.1695,36.7162,6.2333,0.0069,-18.0822,37.0084,39.6863,355,0,39.9117,354.7289,0.0057
23,5.2637,0.0,-15.3973,31.111,5.2333,0.0069,-15.6493,31.5735,33.1662,360,0,32.8275,359.7,0.0057
24,3.7587,0.0,-12.0633,24.372,3.7667,0.0069,-12.1644,24.7216,23.9792,365,0,24.3866,364.7764,0.0057
25,0.0,0.0,-7.4441,15.0382,-0.2333,0.0069,-7.2986,15.4589,0.0,370,0,0.3436,369.8515,0.0057
26,-0.0,0.0,-7.4441,15.0382,-0.1667,0.0069,-7.2986,15.1417,-0.0,370,0,-0.0471,369.9638,0.0057
27,-3.7587,0.0,-12.0633,24.372,-3.7667,0.0069,-12.0658,24.066,-23.9792,365,0,-24.8335,365.1124,0.0057
28,-5.2637,0.0,-15.3973,31.111,-5.1333,0.0069,-15.4849,30.643,-33.1662,360,0,-33.9942,360.2521,0.0057
29,-6.3787,0.0,-18.1695,36.7162,-6.1667,0.0069,-17.9178,36.3528,-39.6863,355,0,-38.0454,355.4818,0.0057
30,-7.2815,0.0,-20.6092,41.6509,-7.2,0.0069,-20.4493,41.386,-44.7214,350,0,-44.1124,350.327,0.0057
31,-8.0403,0.0,-22.8248,46.1338,-8.2,0.0069,-22.8822,45.8058,-48.734,345,0,-50.7992,345.0431,0.0057
32,-8.6892,0.0,-24.8775,50.2886,-8.6667,0.0069,-24.8877,49.9296,-51.9615,340,0,-52.775,340.2803,0.0057
33,-9.2476,0.0,-26.8061,54.1938,-9.2,0.0069,-26.8274,53.8631,-54.5436,335,0,-55.1861,335.2962,0.0057
34,-9.7271,0.0,-28.6369,57.9027,-9.7,0.0069,-28.3068,57.3736,-56.5685,330,0,-56.2112,330.7436,0.0057
35,-10.1348,0.0,-30.389,61.4537,-10.1667,0.0069,-30.2795,61.1802,-58.0948,325,0,-58.4542,325.3094,0.0057
36,-10.4744,0.0,-32.0766,64.8757,-10.7,0.0069,-32.2849,64.3946,-59.1608,320,0,-62.4999,320.0543,0.0057
37,-10.7477,0.0,-33.7107,68.191,-10.6667,0.0069,-33.6986,67.884,-59.7913,315,0,-60.0286,315.4161,0.0057
38,-10.9541,0.0,-35.3003,71.4177,-10.7,0.0069,-35.1781,71.035,-60.0,310,0,-59.0137,310.7877,0.0057
39,-11.0914,0.0,-36.8524,74.5704,-11.1667,0.0069,-36.6575,74.2072,-59.7913,305,0,-60.2374,305.5028,0.0057
40,-11.1557,0.0,-38.3732,77.6614,-11.2,0.0069,-38.0712,77.4427,-59.1608,300,0,-58.6771,300.4629,0.0057
41,-11.1408,0.0,-39.8678,80.7014,-11.1667,0.0069,-39.9781,80.3823,-58.0948,295,0,-59.3896,295.2967,0.0057
42,-11.0377,0.0,-41.3407,83.6995,-11.1667,0.0069,-41.063,83.2372,-56.5685,290,0,-57.1823,290.7072,0.0057
43,-10.8343,0.0,-42.7957,86.6639,-10.7,0.0069,-42.4767,86.1767,-54.5436,285,0,-53.7358,286.049,0.0057
44,-10.5132,0.0,-44.2366,89.6021,-10.7,0.0069,-44.4164,89.222,-51.9615,280,0,-54.3564,280.2626,0.0057
45,-10.0493,0.0,-45.6665,92.521,-10.2,0.0069,-45.4685,92.0558,-48.734,275,0,-49.7211,275.7226,0.0057
46,-9.4048,0.0,-47.0885,95.4269,-9.2333,0.0069,-46.9479,95.2068,-44.7214,270,0,-43.8665,270.575,0.0057
47,-8.5173,0.0,-48.5054,98.326,-8.7333,0.0069,-48.3616,98.0617,-39.6863,265,0,-40.7151,265.3771,0.0057
48,-7.2695,0.0,-49.9199,101.2244,-7.2333,0.0069,-49.9397,101.0013,-33.1662,260,0,-33.4875,260.417,0.0057
49,-5.3721,0.0,-51.3348,104.1279,-5.2333,0.0069,-51.4521,103.9408,-23.9792,255,0,-24.0718,255.3818,0.0057
50,-0.0,0.0,-52.7526,107.0427,-0.2333,0.0069,-52.9644,106.7957,-0.0,250,0,-2.0644,250.5142,0.0057
